ds,Gerçek_Satış,Prophet_Pred,XGBoost_Pred
2022-06-23,520139.0,654937.4163421576,672051.94
2022-06-24,481957.0,685214.1318422868,643462.44
2022-06-25,469255.0,720473.643266186,640765.4
2022-06-26,513518.0,766203.2823007291,641029.25
2022-06-27,447699.0,714354.2207282602,675600.75
2022-06-28,444275.0,722595.2561253156,675513.56
2022-06-29,115595.0,732670.6598104137,677039.56
